circRNA,disease,label
hsa_circ_0001859,"arthritis, rheumatoid",1
circrna-0004904,pre-eclampsia,1
hsa_circ_0006404,hepatoblastoma,0
circmyo10,aortic aneurysm,0
hsa_circ_0007915,coronary atherosclerotic heart disease,0
circrna_09993,"tuberculosis, pulmonary",1
hsa_circ_0008039,breast neoplasms,1
circ_arf3,osteoporosis,0
circdennd4c,breast neoplasms,1
circepsti1,prostatic neoplasms,0
circ-atp8a2,crohn disease,0
hsa_circ_0005015,"leukemia, lymphocytic, chronic, b-cell",0
hsa_circ_0002142,acne vulgaris,0
circ_101222,hepatoblastoma,0
hsa_circ_0037655,bladder urothelial carcinoma,0
circrna_000543,nasopharyngeal carcinoma,1
circ-itch,osteosarcoma,1
hsa_circ_0000204,"carcinoma, hepatocellular",1
cirs-6,"prostatic neoplasms, castration-resistant",0
hsa_circ_0015756,hepatoblastoma,1
circscaf11,glioma,1
hsa_circ_0009362,"carcinoma, non-small-cell lung",0
hsa_circ_103973,uterine cervical neoplasms,1
hsa_circ_0011385,"liver cirrhosis, biliary",0
hsa_circ_0003391,hepatocellular steatosis,0
hsa_circ_0076305,"carcinoma, non-small-cell lung",1
circnt5e,glioblastoma,1
circ_stk24,retinal neurodegeneration,0
circ-foxo3,glioblastoma,1
circ2174,cholangiocarcinoma,1
hsa_circ_0000267,stomach neoplasms,1
circ-pde8a,pancreatic neoplasms,1
hsa_circ_0070269,"carcinoma, hepatocellular",1
hsa_circrna_091692,atherosclerosis,0
circrna.1030,leukemia,0
hsa_circ_0001900,endometrial neoplasms,0
circsmarca5,cardiovascular diseases,1
circrna_0084043,asthma,0
circrna-0067835,liver neoplasms,0
hsa_circ_0068871,cardiovascular diseases,0
circ-znf609,"carcinoma, hepatocellular",0
hsa_circ_104871,vascular endothelial dysfunction,0
hsa_circ_0005230,liver cirrhosis,0
hsa_circrna_101720,moyamoya disease,1
hsa_circrna_104310,sciatica,0
hsa_circ_0000291,active tuberculosis,0
circ-ezh2,irradiated hepatic stellate cell,0
hsa_circ_0004846,osteosarcoma,1
hsa_circ_0014243,hypertension,1
circ-cspp1,ovarian neoplasms,1
hsa_circ_0000337,esophageal squamous cell carcinoma,1
hsa_circ_0026134,diabetic nephropathies,0
hsa_circ_0005230,thyroid neoplasms,0
hsa_circ_0006168,facet joint osteoarthritis,0
hsa_circ_0008305,essential hypertension,0
hsa_circ_0054537,coronary artery disease,1
hsa_circ_092516,gallbladder neoplasms,0
circsema4b,hypopharyngeal neoplasms,0
circ-cdyl,diabetic retinopathy,0
hsa_circ_0016788,"carcinoma, hepatocellular",1
hsa_circ_0001073,myocardial infarction,0
hsa-circrna11783-2,coronary artery disease,1
hsa_circ_0000673,liver neoplasms,0
hsa_circrna_102296,aortic aneurysm,0
hsa_circ_0054345,irradiated hepatic stellate cell,1
hsa_circ_0008365,stomach neoplasms,1
hsa_circ6510-1,alzheimer disease,0
circ-eif4g3,infantile hemangioma,0
hsa_circ_0000495,squamous cell carcinoma of head and neck,1
hsa_circ_0087537,immunosenescence,0
circhla-c,lupus nephritis,1
hsa_circrna_009024,active tuberculosis,1
hsa_circ_0052012,"arthritis, rheumatoid",1
circular rna wdr77,cardiovascular diseases,1
circpcnx,active pulmonary tuberculosis,0
hsa_circ_0067835,endometriosis,0
circmylk,repeated implantation failure,0
hsa_circ_0003645,"carcinoma, non-small-cell lung",1
hsa_circ_0005963,colonic neoplasms,1
hsa_circ_0054633,diabetes mellitus,1
circ-itch,lung neoplasms,1
hsa_circ_0004771,breast neoplasms,1
hsa_circrna_406557,prostatic neoplasms,1
hsa_circ_0000175,uterine cervical neoplasms,0
circlmtk2,multiple sclerosis,0
hsa_circ_0001564,osteosarcoma,1
ctfrc,urinary bladder neoplasms,1
hsa_circ_0000673,"carcinoma, hepatocellular",1
hsa_circrna_067209,squamous cell carcinoma of head and neck,0
hsa_circ_0054537,breast neoplasms,0
hsa_circ_0072995,"lupus erythematosus, systemic",0
hsa_circ_0002908,"tuberculosis, pulmonary",1
circlmtk2,prostatic neoplasms,1
hsa_circ_103783,leukoaraiosis,1
circatp2b1,multiple sclerosis,0
circitga7,colorectal neoplasms,1
circnup214,"thyroid cancer, papillary",1
circrna_0047905,lymphangiogenesis,0
circular rna wdr77,ischemic stroke,0
hsa_circ_0002908,bladder urothelial carcinoma,0
hsa_circ_0026134,salivary adenoid cystic carcinoma,0
hsa_circ_0074362,glioma,1
hsa_circ_0004712,"arthritis, rheumatoid",1
circgucy1a2,prostatic neoplasms,1
circ-znf609,t2dm with depression,0
hsa_circ_0000654,silicosis,0
hsa_circ_100338,"leukemia, myelogenous, chronic, bcr-abl positive",0
hsa-circ-000595,aortic aneurysm,1
hsa_circ_0001742,squamous cell carcinoma of head and neck,1
circrna_001569,stomach neoplasms,1
hsa_circ_0072410,diabetic retinopathy,1
